patch_id,labels,split,country,s1_name,s2v1_name,contains_seasonal_snow,contains_cloud_or_shadow,has_top_class
S2A_MSIL2A_20180526T100031_N9999_R122_T34WFU_83_78,"['Coniferous forest' 'Inland wetlands' 'Mixed forest'
 'Transitional woodland, shrub']",train,Finland,S1A_IW_GRDH_1SDV_20180526T045642_34WFU_83_78,S2A_MSIL2A_20180526T100031_83_78,False,False,True
S2A_MSIL2A_20180413T095031_N9999_R079_T34UEG_07_00,['Arable land' 'Complex cultivation patterns'],train,Lithuania,S1A_IW_GRDH_1SDV_20180413T161957_34UEG_7_0,S2A_MSIL2A_20180413T095031_7_0,False,False,True
S2B_MSIL2A_20170906T101019_N9999_R022_T34WFS_79_25,"['Arable land'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest' 'Transitional woodland, shrub']",train,Finland,S1A_IW_GRDH_1SDV_20170906T155749_34WFS_79_25,S2B_MSIL2A_20170906T101020_79_25,False,False,True
S2A_MSIL2A_20171208T093351_N9999_R136_T34TEN_47_87,"['Arable land' 'Broad-leaved forest' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures']",train,Serbia,S1A_IW_GRDH_1SDV_20171207T162425_34TEN_47_87,S2A_MSIL2A_20171208T093351_47_87,False,False,True
S2A_MSIL2A_20171002T112111_N9999_R037_T29SNB_90_12,"['Agro-forestry areas' 'Arable land'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Moors, heathland and sclerophyllous vegetation'
 'Transitional woodland, shrub']",train,Portugal,S1A_IW_GRDH_1SDV_20170929T182649_29SNB_90_12,S2A_MSIL2A_20171002T112112_90_12,False,False,True
S2A_MSIL2A_20170613T101031_N9999_R022_T34VER_84_50,"['Arable land' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest' 'Urban fabric']",train,Finland,S1B_IW_GRDH_1SDV_20170613T044822_34VER_84_50,S2A_MSIL2A_20170613T101032_84_50,False,False,True
S2B_MSIL2A_20170924T093019_N9999_R136_T35UMA_06_19,"['Coniferous forest' 'Industrial or commercial units' 'Inland waters'
 'Inland wetlands'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest']",train,Lithuania,S1A_IW_GRDH_1SDV_20170923T160313_35UMA_6_19,S2B_MSIL2A_20170924T93014_6_19,False,False,True
S2A_MSIL2A_20171002T112111_N9999_R037_T29SNC_02_11,['Complex cultivation patterns' 'Urban fabric'],train,Portugal,S1B_IW_GRDH_1SDV_20171004T064231_29SNC_2_11,S2A_MSIL2A_20171002T112111_2_11,False,False,True
S2B_MSIL2A_20180515T094029_N9999_R036_T35VNJ_90_60,"['Coniferous forest' 'Inland waters' 'Mixed forest'
 'Transitional woodland, shrub']",train,Finland,S1A_IW_GRDH_1SDV_20180513T153233_35VNJ_90_60,S2B_MSIL2A_20180515T094029_90_60,False,False,True
S2B_MSIL2A_20180515T112109_N9999_R037_T29SNC_83_52,['Agro-forestry areas' 'Broad-leaved forest' 'Permanent crops'],train,Portugal,S1B_IW_GRDH_1SDV_20180515T063421_29SNC_83_52,S2B_MSIL2A_20180515T112109_83_52,False,False,True
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEP_09_01,"['Arable land' 'Complex cultivation patterns' 'Inland waters'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",train,Serbia,S1A_IW_GRDH_1SDV_20170914T162516_34TEP_9_1,S2B_MSIL2A_20170914T93030_9_1,False,False,True
S2A_MSIL2A_20171002T112111_N9999_R037_T29SNC_41_10,['Agro-forestry areas' 'Broad-leaved forest' 'Mixed forest'],train,Portugal,S1B_IW_GRDH_1SDV_20171004T064231_29SNC_41_10,S2A_MSIL2A_20171002T112111_41_10,False,False,True
S2B_MSIL2A_20171112T114339_N9999_R123_T29UPU_01_75,['Arable land' 'Pastures'],train,Ireland,S1B_IW_GRDH_1SDV_20171112T181343_29UPU_1_75,S2B_MSIL2A_20171112T114339_1_75,False,False,True
S2A_MSIL2A_20171002T094031_N9999_R036_T34TCR_88_23,['Arable land'],train,Serbia,S1B_IW_GRDH_1SDV_20170929T045327_34TCR_88_23,S2A_MSIL2A_20171002T094031_88_23,False,False,True
S2B_MSIL2A_20170924T093019_N9999_R136_T35VNH_03_72,"['Arable land' 'Broad-leaved forest' 'Coniferous forest'
 'Industrial or commercial units' 'Mixed forest']",train,Finland,S1B_IW_GRDH_1SDV_20170924T044105_35VNH_3_72,S2B_MSIL2A_20170924T093019_3_72,False,False,True
S2A_MSIL2A_20171002T094031_N9999_R036_T34TCR_80_20,['Arable land' 'Urban fabric'],train,Serbia,S1B_IW_GRDH_1SDV_20170929T045327_34TCR_80_20,S2A_MSIL2A_20171002T094031_80_20,False,False,True
S2B_MSIL2A_20180421T100029_N9999_R122_T33TWM_13_01,"['Broad-leaved forest' 'Coniferous forest' 'Mixed forest' 'Pastures'
 'Urban fabric']",train,Austria,S1A_IW_GRDH_1SDV_20180421T165021_33TWM_13_1,S2B_MSIL2A_20180421T100030_13_1,False,False,True
S2A_MSIL2A_20180510T094031_N9999_R036_T35WPN_03_75,"['Coniferous forest' 'Mixed forest' 'Transitional woodland, shrub']",train,Finland,S1A_IW_GRDH_1SDV_20180511T043205_35WPN_3_75,S2A_MSIL2A_20180510T94033_3_75,False,False,True
S2B_MSIL2A_20180224T112109_N9999_R037_T29SNC_62_79,['Arable land' 'Permanent crops'],train,Portugal,S1A_IW_GRDH_1SDV_20180225T183447_29SNC_62_79,S2B_MSIL2A_20180224T112109_62_79,False,False,True
S2B_MSIL2A_20180421T100029_N9999_R122_T33TWN_89_48,"['Broad-leaved forest' 'Complex cultivation patterns' 'Coniferous forest'
 'Mixed forest']",train,Austria,S1A_IW_GRDH_1SDV_20180421T165046_33TWN_89_48,S2B_MSIL2A_20180421T100029_89_48,False,False,True
S2B_MSIL2A_20170924T093019_N9999_R136_T35VPK_03_69,"['Coniferous forest' 'Inland waters'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest']",train,Finland,S1A_IW_GRDH_1SDV_20170925T043256_35VPK_3_69,S2B_MSIL2A_20170924T93021_3_69,False,False,True
S2B_MSIL2A_20180326T112109_N9999_R037_T29SNB_04_86,"['Complex cultivation patterns'
 'Moors, heathland and sclerophyllous vegetation'
 'Natural grassland and sparsely vegetated areas' 'Urban fabric']",train,Portugal,S1A_IW_GRDH_1SDV_20180327T064326_29SNB_4_86,S2B_MSIL2A_20180326T112109_4_86,False,False,True
S2B_MSIL2A_20170825T093029_N9999_R136_T34TEQ_85_89,"['Broad-leaved forest' 'Pastures' 'Transitional woodland, shrub'
 'Urban fabric']",train,Serbia,S1B_IW_GRDH_1SDV_20170827T162409_34TEQ_85_89,S2B_MSIL2A_20170825T093029_85_89,False,False,True
S2B_MSIL2A_20170930T095019_N9999_R079_T34UEG_60_09,"['Complex cultivation patterns' 'Coniferous forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest']",train,Lithuania,S1B_IW_GRDH_1SDV_20170929T045032_34UEG_60_9,S2B_MSIL2A_20170930T095019_60_9,False,False,True
S2A_MSIL2A_20170613T101031_N9999_R022_T33UUP_61_81,['Mixed forest' 'Pastures' 'Urban fabric'],train,Austria,S1B_IW_GRDH_1SDV_20170612T165809_33UUP_61_81,S2A_MSIL2A_20170613T101031_61_81,False,False,True
S2B_MSIL2A_20170924T093019_N9999_R136_T35VPK_85_59,"['Coniferous forest' 'Mixed forest' 'Transitional woodland, shrub']",train,Finland,S1A_IW_GRDH_1SDV_20170922T152425_35VPK_85_59,S2B_MSIL2A_20170924T093019_85_59,False,False,True
S2A_MSIL2A_20180318T093031_N9999_R136_T35UMB_30_83,['Arable land' 'Complex cultivation patterns' 'Mixed forest' 'Pastures'],train,Lithuania,S1B_IW_GRDH_1SDV_20180318T043418_35UMB_30_83,S2A_MSIL2A_20180318T093031_30_83,False,False,True
S2A_MSIL2A_20171002T112111_N9999_R037_T29SNC_51_78,"['Agro-forestry areas' 'Arable land' 'Transitional woodland, shrub']",train,Portugal,S1A_IW_GRDH_1SDV_20171004T183450_29SNC_51_78,S2A_MSIL2A_20171002T112111_51_78,False,False,True
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNH_54_11,['Coniferous forest' 'Inland waters' 'Mixed forest'],train,Finland,S1B_IW_GRDH_1SDV_20180524T153951_35VNH_54_11,S2B_MSIL2A_20180525T94030_54_11,False,False,True
S2B_MSIL2A_20170825T093029_N9999_R136_T34TEQ_08_59,"['Arable land' 'Broad-leaved forest'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",train,Serbia,S1A_IW_GRDH_1SDV_20170826T163327_34TEQ_8_59,S2B_MSIL2A_20170825T093029_8_59,False,False,True
S2B_MSIL2A_20180422T093029_N9999_R136_T34TEQ_79_61,"['Broad-leaved forest' 'Inland waters'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Transitional woodland, shrub']",train,Serbia,S1B_IW_GRDH_1SDV_20180423T043716_34TEQ_79_61,S2B_MSIL2A_20180422T093029_79_61,False,False,True
S2B_MSIL2A_20170911T092019_N9999_R093_T34TFN_05_63,"['Broad-leaved forest' 'Transitional woodland, shrub']",train,Serbia,S1A_IW_GRDH_1SDV_20170913T043820_34TFN_5_63,S2B_MSIL2A_20170911T092019_5_63,False,False,True
S2B_MSIL2A_20180220T114339_N9999_R123_T29UPV_10_64,"['Arable land'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures']",train,Ireland,S1A_IW_GRDH_1SDV_20180219T063851_29UPV_10_64,S2B_MSIL2A_20180220T114339_10_64,False,False,True
S2A_MSIL2A_20170813T112121_N9999_R037_T29SNC_48_78,"['Agro-forestry areas' 'Arable land' 'Transitional woodland, shrub']",train,Portugal,S1A_IW_GRDH_1SDV_20170812T182647_29SNC_48_78,S2A_MSIL2A_20170813T112121_48_78,False,False,True
S2B_MSIL2A_20171015T104009_N9999_R008_T31UGR_20_12,['Mixed forest' 'Pastures'],train,Belgium,S1A_IW_GRDH_1SDV_20171016T055031_31UGR_20_12,S2B_MSIL2A_20171015T104009_20_12,False,False,True
S2B_MSIL2A_20170914T093029_N9999_R136_T34TEP_01_64,"['Broad-leaved forest' 'Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation']",train,Serbia,S1A_IW_GRDH_1SDV_20170914T162451_34TEP_1_64,S2B_MSIL2A_20170914T93030_1_64,False,False,True
S2A_MSIL2A_20171221T112501_N9999_R037_T29SND_87_87,['Agro-forestry areas' 'Arable land'],train,Portugal,S1B_IW_GRDH_1SDV_20171222T063355_29SND_87_87,S2A_MSIL2A_20171221T112501_87_87,False,False,True
S2A_MSIL2A_20180430T094031_N9999_R036_T34TCR_89_17,['Arable land' 'Complex cultivation patterns' 'Inland wetlands'],train,Serbia,S1B_IW_GRDH_1SDV_20180429T163254_34TCR_89_17,S2A_MSIL2A_20180430T094031_89_17,False,False,True
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNL_90_30,['Coniferous forest' 'Mixed forest'],train,Finland,S1A_IW_GRDH_1SDV_20180525T153259_35VNL_90_30,S2B_MSIL2A_20180525T094029_90_30,False,False,True
S2B_MSIL2A_20170801T095029_N9999_R079_T33TXN_37_00,['Arable land' 'Urban fabric'],train,Austria,S1B_IW_GRDH_1SDV_20170801T164200_33TXN_37_0,S2B_MSIL2A_20170801T095029_37_0,False,False,True
S2B_MSIL2A_20180220T114339_N9999_R123_T29UPV_03_49,"['Arable land' 'Broad-leaved forest' 'Inland waters'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Pastures']",train,Ireland,S1A_IW_GRDH_1SDV_20180219T063851_29UPV_3_49,S2B_MSIL2A_20180220T114339_3_49,False,False,True
S2B_MSIL2A_20171219T095409_N9999_R079_T33TWN_78_33,"['Complex cultivation patterns'
 'Land principally occupied by agriculture, with significant areas of natural vegetation'
 'Mixed forest']",train,Austria,S1B_IW_GRDH_1SDV_20171220T050912_33TWN_78_33,S2B_MSIL2A_20171219T095409_78_33,False,False,True
S2A_MSIL2A_20180205T100211_N9999_R122_T35VLJ_78_61,['Coniferous forest' 'Inland waters' 'Mixed forest'],train,Finland,S1A_IW_GRDH_1SDV_20180204T154856_35VLJ_78_61,S2A_MSIL2A_20180205T100211_78_61,False,False,True
S2B_MSIL2A_20171015T104009_N9999_R008_T31UGR_02_33,"['Complex cultivation patterns' 'Mixed forest' 'Pastures'
 'Transitional woodland, shrub']",train,Belgium,S1A_IW_GRDH_1SDV_20171016T055031_31UGR_2_33,S2B_MSIL2A_20171015T104009_2_33,False,False,True
S2A_MSIL2A_20180526T100031_N9999_R122_T34WFU_74_86,"['Mixed forest' 'Transitional woodland, shrub']",train,Finland,S1A_IW_GRDH_1SDV_20180526T045642_34WFU_74_86,S2A_MSIL2A_20180526T100031_74_86,False,False,True
S2B_MSIL2A_20180525T094029_N9999_R036_T35VNH_50_05,['Inland waters'],train,Finland,S1B_IW_GRDH_1SDV_20180524T153951_35VNH_50_5,S2B_MSIL2A_20180525T94030_50_5,False,False,True
S2B_MSIL2A_20180515T112109_N9999_R037_T29SNC_02_16,['Complex cultivation patterns' 'Urban fabric'],train,Portugal,S1B_IW_GRDH_1SDV_20180515T063421_29SNC_2_16,S2B_MSIL2A_20180515T112109_2_16,False,False,True
S2B_MSIL2A_20170802T092029_N9999_R093_T34TFN_10_68,"['Mixed forest' 'Natural grassland and sparsely vegetated areas'
 'Transitional woodland, shrub']",train,Serbia,S1B_IW_GRDH_1SDV_20170802T043751_34TFN_10_68,S2B_MSIL2A_20170802T092029_10_68,False,False,True
S2B_MSIL2A_20180522T093029_N9999_R136_T35VPJ_20_10,['Broad-leaved forest' 'Coniferous forest' 'Inland waters' 'Mixed forest'],train,Finland,S1A_IW_GRDH_1SDV_20180523T043256_35VPJ_20_10,S2B_MSIL2A_20180522T093029_20_10,False,False,True
S2B_MSIL2A_20170906T101019_N9999_R022_T34WFS_34_80,['Arable land' 'Coniferous forest' 'Mixed forest'],train,Finland,S1A_IW_GRDH_1SDV_20170906T155749_34WFS_34_80,S2B_MSIL2A_20170906T101020_34_80,False,False,True
S2B_MSIL2A_20170906T101019_N9999_R022_T34VDN_76_84,['Broad-leaved forest' 'Marine waters'],train,Finland,S1B_IW_GRDH_1SDV_20170905T044916_34VDN_76_84,S2B_MSIL2A_20170906T101019_76_84,False,False,True
S2B_MSIL2A_20171112T114339_N9999_R123_T29UPU_29_86,['Arable land' 'Broad-leaved forest' 'Inland waters' 'Pastures'],train,Ireland,S1B_IW_GRDH_1SDV_20171112T181343_29UPU_29_86,S2B_MSIL2A_20171112T114339_29_86,False,False,True
S2B_MSIL2A_20170709T094029_N9999_R036_T35VNL_60_86,['Broad-leaved forest' 'Coniferous forest' 'Inland waters' 'Mixed forest'],train,Finland,S1B_IW_GRDH_1SDV_20170709T043159_35VNL_60_86,S2B_MSIL2A_20170709T094029_60_86,False,False,True
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_73_02,"['Broad-leaved forest' 'Complex cultivation patterns'
 'Transitional woodland, shrub']",train,Portugal,S1B_IW_GRDH_1SDV_20170701T182622_29SND_73_2,S2A_MSIL2A_20170704T112111_73_2,False,False,True
